Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
Lapa do Picareiro,T,UGAMS-23727,19530,50,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Vale Boi,Rockshelter C1,Wk-24765,19533,92,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
"Riera, La",1,UCR-1270A,19620,390,Bone,C14,Gravettian?/Solutrean?,Northern Iberia,"Straus, 1986",Yes,
Altamira,7sup,GrA-32761,19630,80,Bone,AMS,Upper Solutrean,Northern Iberia,"Lasheras et al., 2012",Yes,
"Linar , El",3,GrA-27746,19680,90,Bone,AMS,Solutrean,Northern Iberia,"Rasines del Río, 2016",Yes,
Parpallo,PT- 20,OxA-22890,19690,110,Bone,AMS,Solutrense,Mediterranean,"Aura et al., 2012",Yes,
Chaves,C1,GrN-12681,19700,310,Charcoal,C14,Upper/Upper evolved Solutrean,Northern Iberia,"Utrilla, 1995",Yes,
Cueto de la Mina,E,?,19700,500,?,?,Upper Solutrean,Northern Iberia,Alvarez-Laó and García 2010,No,"Problematic (Muñoz Ibánez, 2000:38) No (SD)"
Arlampe,Superficial,Ua-36756,19700,455,,,,,,No,
Aitzbitarte III,II,Ua-37959,19765,220,Bone,AMS,Gravettian/Solutrean,Northern Iberia,"Altuna, 2011",Yes,
"Riera, La",10,Gak-6447,19820,390,Charcoal,C14,Solutrean/Badegoulian,Northern Iberia,"Straus, 1986",No,"problematic (Muñoz Ibáñez, 2000:38) (SD)"
Caldeirão,H,OxA-1939,19900,260,Bone,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Nerja Galerias Altas,Ciervo pintado en negro,GifA-98191,19900,210,Charcoal,AMS,Solutrense medio,Mediterranean,"Sanchidrián et al., 2001",No,Palaeolithic Art
"Santa Maira, CG",CG II-12a,Beta-317412,19910,100,Charcoal,AMS,Solutrense (superior),Mediterranean,"Aura & Jordá, 2013",Yes,
Peña Capón,II,Beta-246880,19930,110,Tooth,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. 2013,Yes,
Vale Almoinha,5 (AIII),OxA-5676,19940,180,Charcoal,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Hornos de la Peña,C,BM-1882,19950,300,Hueso,C14,Solutrean?,Northern Iberia,"Straus, 1992",Yes,
"Ambrosio, Cueva de",II.1,GifA-95577,19950,210,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
Peña Capón,III,Beta - 246879,19980,110,Tooth,AMS,Proto-Solutrean,Central Iberia,Alcaraz-Castaño et al. 2013,Yes,
Peña Capón,2a,COL4214.1.1,19987,110,Bone,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,Cut marked bone
Bajondillo/ 9,Bj 9,MAD-2405,19990,480,Charcoal,AMS?,,Mediterranean,"Cortés Sánchez, 2007",No,SD
Peña Capón,1 base,COL4210.1.1,20008,112,Charcoal,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,
Peña Capón,II,COL4223.1.1,20024,108,Bone,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,Cut marked bone
Peña Capón,2a,COL4213.1.1,20107,111,Charcoal,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,
L'Arbreda,0.38 - 0.395m,Gif-6420,20130,220,charcoal,C14,Gravetiense,Mediterranean,"Delibrias et al., 1987",Yes,
Pileta,,GiFA-98162,20130,350,,C14,Palaeolithic art,Mediterranean,"Sanchidrián et al., 2001",No,Palaeolithic Art
Malladetes,V a,KN-I/919,20140,460,bone,C14,Solutrense medio,Mediterranean,"Fortea & Jordá, 1976",No,SD
"Ambrosio, Cueva de",II-1,GifA-95576,20150,200,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
Parpallo,6.5 -7.5m,BIRM-520,20170,380,Bone,C14,Solutrense,Mediterranean,"Bofinger & Davidson, 1977",No,SD
Lagar Velho,9,OxA-8419,20200,180,Charcoal,AMS,Solutrean,Portugal,Zilhão and Trinkaus 2002,Yes,
Lapa do Picareiro,T,UGAMS-23718,20240,50,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Lapa do Picareiro,T4,Beta-208221,20240,110,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Salemas,V.S.,ICEN-376,20250,320,Bone,C14,Solutrean,Portugal,Zilhão 1997,?,
"Caldas, Las",15 (Sala 1),Ua-15318,20250,235,Charcoal,AMS,Middle Solutrean,Northern Iberia,"Corchón Rodríguez, 1995",Yes,
Peña Capón,2a,COL4215.1.1,20261,111,Bone,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,Cut marked bone
Peña Capón,2a,COL4212.1.1,20278,107,Charcoal,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. in press,Yes,
Aitzbitarte III,III,Ua-11149,20290,260,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
Lapa do Picareiro,T,UGAMS-23725,20320,50,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Vale Boi,Terrace 5,Wk-42831,20329,90,Shell,AMS,Proto-Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Vale Boi,Rockshelter B6,Wk-17840,20339,161,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Vale Boi,Rockshelter B1,Wk-31088,20340,160,Shell,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,Calcite
La Boja,OH9,VERA-6081ABOx,20350,90,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
"Riera, La",1,Ly-1783,20360,450,bone,C14,Lower Solutrean?,Northern Iberia,"Straus, 1986",Yes,
Vale Almoinha,5 (AIII),ICEN-71,20380,150,Charcoal,C14,Solutrean,Portugal,Zilhão 1997,Yes,
La Boja,OH9,VERA-6081_av,20395,64,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
CPM,7,,20400,2300,Burnt chert,TL,Magdalenian,Portugal,Bicho and Haws 2012,Yes,
Caldeirão,Fa Topo,OxA-1938,20400,270,Bone,AMS,Solutrean,Portugal,Zilhão 1997,No,
Aitzbitarte III,III,Ua-11147,20405,130,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
La Boja,OH9,VERA-6081,20440,90,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
La Boja,OH11,VERA-6152HS,20457,105,Humic acids,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
Parpallo,6.5- 7m,BM-859,20490,900,Bone,C14,Solutrense inferior,Mediterranean,"Bofinger & Davidson, 1977",No,SD
Abrigo do Alecrim,6,Beta-203513,20510,150,Bone,AMS,Proto-Solutrean,Portugal,Pereira 2011,Yes,
Caldeirão,H,OxA-2511,20530,270,Bone,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Lapa do Picareiro,T,UGAMS-23726,20530,50,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Vale Boi,Rockshelter D2,Wk-26802,20570,158,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
La Boja,OH9,VERA-5850,20580,100,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
Foradada Xàbia,"Sector II, n II",Beta-167653,20620,80,Bone,AMS,Solutrense?,Mediterranean,"Casabó, 2014",Yes,
Vale Boi,Rockshelter C4,Wk-26800,20620,160,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Lapa do Picareiro,T,UGAMS-23722,20630,55,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
La Boja,OH10,VERA-5366HS,20640,110,Humic acids,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
La Boja,OH11 burrow,VERA-5366HS,20640,110,,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",No,Anomalous
La Boja,OH11,VERA-5851_av,20670,74,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
"Riera, La",8,GaK-6981,20690,810,Charcoal,C14,Upper Solutrean,Northern Iberia,"Straus, 1986",No,problematic (Soto 2001:12) (SD)
Cardina I,C4 base,,20700,1300,Sediment,TL,Gravettian,Central Iberia,Bicho et al. 2015,No,
Hornos de la Peña,D,BM-1883,20700,350,Bone,C14,Gravettian,Northern Iberia,"Straus, 1992",Yes,
Lapa do Picareiro,T4,Beta-229781,20700,100,Bone,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
"Morín, Cueva",5 inf,SI-953,20710,350,Charcoal,C14,Gravettian,Northern Iberia,"Maíllo Fernández, 2003",Yes,
Lapa do Picareiro,T,UGAMS-23721,20710,55,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
La Boja,OH11,VERA-5851_2,20720,100,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
La Boja,OH11,VERA-6152,20754,105,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
Cendres,XIV-XV,Beta-287546,20800,110,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Fuente del Trucho,reworked,GrA-29915,20800,100,Charcoal,AMS,No context,Mediterranean,Montes L. e.a. 2008.,No,Anómalus
Vale Boi,Terrace 5,Wk-42830,20818,107,Charcoal,AMS,Proto-Solutrean,Portugal,Cascalheira et al. 2012,Yes,
La Boja,OH10,VERA-5366,20830,110,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
"Riera, La",1,BM-1739,20860,410,Bone,C14,Gravettian?/Solutrean?,Northern Iberia,"Straus, 1986",Yes,
La Boja,OH10,VERA-5366_av,20898,81,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
Roc de la Melca,,MC-2219,20900,400,bone,C14,Gravetiense,Mediterranean,"Soler, 1979-80",No,SD
Ekain,VIII,I-13005,20900,450,Bone,C14,Gravettian,Northern Iberia,"Altuna, 1984",Yes,
"Riera, La",4,GaK-6984,20970,620,Charcoal,C14,Upper Solutrean,Northern Iberia,"Straus, 1986",No,problematic (Soto 2001:12) (SD)
La Boja,OH11,VERA-5213,20980,110,Charcoal,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
Nerja (220),220,Beta-271212,20980,100,Charcoal,AMS,Iluminación Arte,Mediterranean,"Medina et al., 2010",No,Iluminación
Bolinkoba,2 sup,Beta-302981,21020,90,Bone,AMS,Gravettian,Northern Iberia,"Iriarte-Chiapusso and Arrizabalaga, 2015",Yes,
La Boja,OH11,VERA-5213HS,21060,110,Humic acids,AMS,Solutrense (inferior),Mediterranean,"Zilhao et al., 2017",Yes,
CPM III,Inferior,ICEN-541,21080,850,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
"Riera, La",26,BM-1739R,21100,420,bone,C14,,Northern Iberia,"Burleigh et al., 1982",Yes,
Aitzbitarte III,VI,Ua-1917,21130,290,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
Nerja Vestibulo,9 (C4 VIII),GifA-102021,21140,190,Charcoal,AMS,Solutrense,Mediterranean,"Aura et al., 2006",Yes,
Lagar Velho,6,OxA-8420,21180,240,Charcoal,AMS,Proto-Solutrean,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Ermittia,V,Ua-4522,21185,295,Bone,AMS,Solutreo-Gravettian,Northern Iberia,"Esparza and Mujika, 1999",Yes,
Caldeirão,Fa Topo,ICEN-295,21200,2300,Charcoal,C14,Solutrean,Portugal,Zilhão 1997,?,
Peña Capón,IV,Beta - 246878,21220,120,Tooth,AMS,Gravettian?,Central Iberia,Alcaraz-Castaño et al. 2013,Yes,
Cendres,XV,Beta-142282,21230,80,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Balma de la Griera,,AA-8649,21255,350,bone,AMS,Gravet /Proto-Solutr,Mediterranean,"Fullola et al., 1984",No,SD
Balma de la Griera,,AA-8649,21255,350,bone,AMS,Gravet /Proto-Solutr,Mediterranean,"Fullola et al., 1984",No,SD
Lagar Velho,6,Sac-1561,21380,810,Bone,AMS,Proto-Solutrean,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Vale Boi,Slope 3,AA-63306,21420,170,Charcoal,AMS,Proto-Solutrean,Portugal,Cascalheira et al. 2012,Yes,
Carihuela,"III-I, (V?)",Pta-8745,21430,200,Charcoal,C14,Gravetiense,Mediterranean,"Carrión et al., 1998",No,Anomalous
"Ambrosio, Cueva de",IV,Gif-9884,21520,120,Charcoal,C14,Solutrense (sup),Mediterranean,"Ripoll et al., 2004",Yes,
Anecrial,2b (lareira),ICEN-964,21560,680,Charcoal,AMS,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
Anecrial,2b (lareira),OxA-5526,21560,220,Charcoal,AMS,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
El Palomar,3,Beta-185409,21560,110,Bone,AMS,Gravettian,Mediterranean,Peña 2013,Yes,"Although an interior site, El Palomar is more ecologically better understood as a Mediterraean site."
Abauntz,f,GrN-21011,21600,210,Bone,C14,Solutrean,Northern Iberia,"Mazo and Utrilla, 1996",Yes,
"Garma, La",F,AA-45566,21650,760,Bone,C14,Gravettian,Northern Iberia,"de la Peña Alonso, 2009",Yes,
Cova Gran de Santa Linya,497A,Beta-207576,21690,120,Shell,AMS,EUP?,Mediterranean,Mora R. e.a. 2011.,Yes,No atribución
Malladetes,2-VI,KN-I/920,21710,650,Charcoal,AMS,Solutrense inferior,Mediterranean,"Fortea & Jordá, 1976",No,SD
Nerja Vestibulo,NV 13a+b,UBAR-341,21760,970,Charcoal,C14,Gravetiense,Mediterranean,"Jordá y Aura, 2008",No,SD
Terra do Manuel,2s,ETH-6038,21770,210,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
Abrigo do Alecrim,6,WK-25514,21794,170,Bone,AMS,Proto-Solutrean,Portugal,Pereira 2011,Yes,
Buraca Escura,2b (base),OxA-5524,21820,200,Bone,AMS,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
Vale Boi,Slope 3,Wk-16415,21830,195,Shell,AMS,Proto-Solutrean,Portugal,Cascalheira et al. 2012,Yes,Calcite and aragonite
A Valina,south profile (NV),GrN-20838,21870,780,Charcoal,C14,Upper Palaeolithic,,,No,
Cendres,XVIa,Beta-295148,21880,100,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Altamira,8,GrA-32765,21910,90,Bone,AMS,Gravettian,Northern Iberia,"De las Heras et al., 2013",Yes,
Altamira,8,GrA-27739,21930,100,Bone,AMS,Gravettian,Northern Iberia,"De las Heras et al., 2013",Yes,
Lagar Velho,6,OxA-8418,22180,180,Charcoal,AMS,Proto-Solutrean,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Cendres,XV,Beta-437194,22190,80,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
"Garma, La",E,TO-11697,22200,170,Bone,C14,Gravettian,Northern Iberia,"de la Peña Alonso, 2009",Yes,
Fuente del Salín,II,GrN-18574,22340,510,Charcoal,C14,Gravettian,Northern Iberia,"Zilhao, 2006",No,"Problematic (Utrilla, 2002:92). No (SD)"
Lagar Velho,1,OxA-10303,22390,280,Charcoal,AMS,Gravettian,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Lapa do Picareiro,T6,UGAMS-29379,22410,60,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Aitzbitarte III,IV,Ua-24965,22420,290,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
Lagar Velho,ms,Wk-9256,22493,107,Charcoal,AMS,Gravettian,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Lapa do Picareiro,U,Beta-234373,22560,110,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Aitzbitarte III,III,Ua-24963,22580,295,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
L'Arbreda,G (-4.85-4.95),Gif-6421,22590,290,Charcoal?,C14,Evolved Aurignacian,Mediterranean,Maroto J. e.a. 2012,No,
Lapa do Picareiro,U,Beta-234374,22590,110,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Lapa do Picareiro,U,Beta-208222,22660,240,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Buraca Escura,2e(meio),OxA-5523,22700,240,Bone,AMS,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
CPM III,Inferior,SMU-2475,22710,350,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
Lagar Velho,ls,Beta-139361,22720,90,Bone,AMS,Gravettian,Portugal,"Zilhão and Trinkaus, 2002",Yes,
Cendres,XVIA,Beta-437195,22750,110,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Cueva de Barriada,A EC-1,Beta-296222,22750,110,Charcoal,AMS,Gravetiense,Mediterranean,Fdz.López de Pablo et al. 2014,Yes,
El Niño,,UGAMS-7738,22780,190,Charcoal,AMS,Gravetiense,Mediterranean,,No,No contex
Caldeirão,I,OxA-1940,22900,380,Bone,AMS,Solutrean,Portugal,Zilhão 1997,?,
"Cariguela, Carihuela",CIII 1 Unit IV level A3,Poz-45201,23020,190,Bulk,C14,Palaeolithic indet.,,,No,
CPM III,Inferior,ICEN-428,23050,750,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
"Arlanpe, Arlampe",II,Beta-313143,23050,100,,,Final Solutrean,,,No,
Lapa do Picareiro,T8,Wk-37656,23097,131,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Abric Romani,A (layer 2),NZA-1818,23160,490,charcoal,C14,Aurignacian,Mediterranean,"Canal i Roquet, et al.1989",No,SD / Anomalus
Aitzbitarte III,V,Ua-2243,23230,330,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
Cendres,XVIA,Beta-303419,23350,100,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Nerja Vestíbulo,NV 12a,UBAR-342,23400,2300,Charcoal,C14,Gravetiense,Mediterranean,"Jordá y Aura, 2008",No,SD
"Cuco, El",III,GrNA-32097,23400,210,Bone,AMS,Gravettian,Northern Iberia,"de la Peña Alonso, 2009",Yes,
Arlampe,A,Ua-38207,23416,283,,,Palaeolithic,,,No,
Anecrial,1b-2a,ICEN-963,23450,1470,Charcoal,AMS,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,Yes,
CPM III,Médio,ICEN-423,23490,280,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Baranica,2,OxA-13827,23520,110,,,Upper Palaeolithic,,,No,
Askondo,un hueso de animal hincado en una oquedad de la pared,Beta-303671,23760,110,Animal,AMS,Art,,,No,
Moliners,IV,Beta-438707,23780,110,Charcoal,AMS,Gravetiense,Mediterranean,"Miret et al., 2017",Yes,
Gorham's Cave,Context 19,OxA-7979,23800,600,Charcoal,AMS,EUP?,Mediterranean,"Finlayson C. e.a. 2000. In Stringer C. e.a. (ed.) Neanderthals on the Edge, Oxbow Books: 139-154. https://www.nespos.org/display/PublicNesposSpace/Zafarraya+-+AMS+%28OxA-7114%29",No,SD
Aitzbitarte III,VI,Ua-2628,23830,345,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
Lapa do Picareiro,T6,UGAMS-29380,23850,60,Charcoal,AMS,Terminal Gravettian,Portugal,Haws et al. 2019,Yes,
Cendres,XVIa,Beta-287549,23860,100,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Cendres,XVIa,Beta-287548,23920,100,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Buraca Grande,"9 b, geoarchaeological complex  3",GifA-93048,23920,300,Charcoal,AMS,Gravettian,,,No,
Comte,SU1002,Beta-413716,24010,90,Charcoal,AMS,Gravetiense,Mediterranean,"Casabó et al., 2017",Yes,
El Castillo,12,Beta-242617,24070,150,Bone,AMS,Gravettian,,,No,
Cendres,XVIA,Beta-158014,24080,150,Charcoal,AMS,Gravtiense,Mediterranean,"Villaverde et al, 2017",Yes,
Cendres,XVIA,Beta 155606,24080,150,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Nerja,(111 - 156),Beta-277744,24130,140,Charcoal,AMS,Iluminación Arte,Mediterranean,"Medina et al., 2010",No,Iluminación
Nerja Vestibulo,NV 13 (XII),Beta-189080,24200,200,Charcoal,AMS,Gravetiense,Mediterranean,"Jordá y Aura, 2008",Yes,
Aitzbitarte III,IV,Ua-11146,24240,365,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 2011",Yes,
Cendres,XVIA,Beta 142283,24240,220,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Nerja Vestibulo,NV 13c,UBAR-340,24300,1400,Charcoal,C14,Gravetiense,Mediterranean,"Jordá y Aura, 2008",No,SD
Nerja Vestibulo,NV13c,Beta-131576,24480,110,Charcoal,AMS,Gravetiense,Mediterranean,"Jordá y Aura, 2008",Yes,
Aitzbitarte III,V,Ua-2626,24545,415,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
Cova Gran de Santa Linya,497A,OxA-19262,24600,110,Shell,AMS,EUP?,Mediterranean,Mora R. e.a. 2011.,Yes,
Aitzbitarte III,VI,Ua-2627,24635,475,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
El Castillo,18,OxA-26613,24720,2103,mandiblei nternal symphyseal region (150 mg of bone powder),AMS,Gravettian: (assigned to the Aurignacian-delta by Obermaier),,,No,
Nerja Vestibulo,NV 11 (X),GifA-102023,24730,250,Charcoal,AMS,Gravetiense,Mediterranean,"Jordá y Aura, 2008",Yes,
Aitzbitarte III,V,I-15208,24910,770,Bone,C14,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
Aitzbitarte III,VI,Ua-2245,24920,410,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
"Cariguela, Carihuela","CIII 1 Unit IV, level A1-A2",Poz-45200,24940,210,Bulk,C14,Palaeolithic indet.,,,No,
Comte,SU1001,Beta-413715,25050,100,Charcoal,AMS,Gravetiense,Mediterranean,"Casabó et al., 2017",Yes,
Balysheva,2,Le-3950,25100,940,,,Upper Palaeolithic,,,No,
Malladetes,12 from sector E,Beta-155607,25120,240,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde y Román, 2004",Yes,
Cueva de Barriada,B EC-2,Beta-296223,25260,120,charcoal,AMS,Gravetiense,Mediterranean,Fdz.López de Pablo et al. 2014,Yes,
Bolinkoba,VI/F,OxA-32519,25280,210,Cervus,AMS,Gravettian,,,No,
Aitzbitarte III,VI,Ua-2244,25380,430,Bone,AMS,Gravettian,Northern Iberia,"Altuna, 1992",Yes,
El Castillo,12,Beta-298431,25520,140,Bone,AMS,Gravettian,,,No,
Lapa da Rainha,4,ICEN-789,25580,1820,Bone,C14,Solutrean,Portugal,Zilhão 1997,No,
Cendres,XVIC,Beta 437823,25590,100,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
Nerja Vestíbulo,NV 12b,UBAR-343,25600,4800,Charcoal,C14,Gravetiense,Mediterranean,"Jordá y Aura, 2008",No,SD
Gorham's Cave,Context 7,OxA-6997,25680,280,Bone,AMS,EUP,Mediterranean,"Finlayson et al., 2006",No,No context
Beneito,D1,Gif-TAN-89229,25750,410,Charcoal,C14,EUP,Mediterranean,"Iturbe y Cortell, 1987",No,SD
L'Arbreda,E,OxA-21669,25780,210,Bone,AMS,Gravetiense,Mediterranean,Mora R. e.a. 2011.,Yes,No atribución
L'Arbreda,-5.05-5.4m [Level H?],Gif-6422,25830,400,Charcoal,C14,Archaic Aurignacian,Mediterranean,"Canal i Roquet, J., & Carbonell i Roura, E. [et al.] 1989 (Catalunya Paleolitica; Patronat Francesc Eiximenis, Gerona: 322-34);",No,SD / Anomalus
"Cariguela, Carihuela","III-I, (V?)",Pta-8746,25850,280,,C14,No context,Mediterranean,"Carrión et al., 1998",No,No Context
Cendres,XVIC,Beta 189078,25850,260,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde et al, 2017",Yes,
CMP IIIS,Inferior,SMU-2667,34730,1890,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Gato Preto,C,,36500,4500,Burnt chert,TL,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Gato Preto,C,,40700,5600,Burnt chert,TL,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
